"","Species","Lake","Year","Length_cm","Weight_g","Length_mm","Length_group","n","mean_w","median_w","total_w_g"
"44","Smallmouth Bass","Michigan",2021,42.2,946,422,"400-600mm",7,1225.9,1181,12259
"45","Walleye","Erie",2021,52.4,900,524,"400-600mm",13,968.125,979,15490
"46","Walleye","Michigan",2020,51.2,1771,512,"400-600mm",13,1028.63636363636,1099,11315
"47","Yellow Perch","Michigan",2017,38.1,657,381,"200-400mm",8,1228.5,1191.5,9828
"48","Walleye","Erie",2023,42.2,852,422,"400-600mm",13,968.125,979,15490
"49","Yellow Perch","Erie",2020,32.8,191,328,"200-400mm",8,636.375,595,5091
"50","Smallmouth Bass","Erie",2020,43.3,2095,433,"400-600mm",7,1403.71428571429,1254,9826
"51","Walleye","Erie",2019,40.2,1089,402,"400-600mm",13,968.125,979,15490
"52","Smallmouth Bass","Erie",2022,41.8,1545,418,"400-600mm",7,1403.71428571429,1254,9826
"53","Walleye","Michigan",2021,72.9,1214,729,">600mm",4,1028.63636363636,1099,11315
"54","Yellow Perch","Erie",2018,81.1,595,811,">600mm",4,636.375,595,5091
"55","Walleye","Erie",2020,44.8,742,448,"400-600mm",13,968.125,979,15490
"56","Walleye","Michigan",2022,42.2,1099,422,"400-600mm",13,1028.63636363636,1099,11315
"57","Yellow Perch","Michigan",2020,65.7,870,657,">600mm",4,1228.5,1191.5,9828
"58","Walleye","Michigan",2017,55.2,1090,552,"400-600mm",13,1028.63636363636,1099,11315
"59","Walleye","Michigan",2020,79,193,790,">600mm",4,1028.63636363636,1099,11315
"60","Walleye","Erie",2019,51.8,1395,518,"400-600mm",13,968.125,979,15490
